Dealer Code,Record Updated dt,LOGIN,Location Code,Customer Name,Customer Code,Customer Category,Invoice Number,Invoice Date,Parent,Sale return Date,Invoice Status,Voucher,Type,Part No,Part Name,UOM,HSN Number,Product Type,Product Category,GST Category,GST Sub-Category,Quantity,Unit Price,Line Item Discount %,Line Item Discount,Net Selling Price,Assessable Value,VAT %,VAT Amount,Freight Amt,Packaging Charges,CGST %,CGST Amt,SGST %,SGST Amt,UT GST %,UT GST Amt,IGST %,IGST Amt,Additional Tax Amt,Additional Tax Amt2,Additional Tax Amt3,Additional Tax Amt4,Additional Tax Amt5,Cess %,Cess Amt,Total Invoice Amount,Narration,Cancellation Date,Invoice Format,Executive Name,Additional Discount %,Cash Discount %,Credit Days,Invoice Type,FRT PKG CGST %,FRT PKG CGST AMT,FRT PKG SGST/UTGST %,FRT PKG SGST/UTGST AMT,FRT PKG IGST %,FRT PKG IGST AMT,FRT PKG CESS %,FRT PKG CESS AMT
30410,45066,30410G01,B,SHREE MOTORS2-32838916782,2-32838916782,AESC,30410BE23P3365,45066,Sale,,Open,Parts Invoice,Parts,37210ACK01099S,SPEEDOMETER COMP-37210ACK01099S,PC,90292020,Spare Parts,HHML Parts,PARTS,PARTS18,1,330,29.25,96.525,233.475,233.475,,0,,100,9,21.01275,9,21.01275,0,0,0,0,0,0,0,0,0,0,0,15165.61963,30410-02-PSAO-0523-4306,,Tax Invoice,GOWTHAMA N,,,,Credit,0,0,0,0,0,0,0,0
30410,45066,30410G01,B,SHREE MOTORS2-32838916782,2-32838916782,AESC,30410BE23P3365,45066,Sale,,Open,Parts Invoice,Parts,42303AAH100S,SLEEVE REAR WHEEL-42303AAH100S,PC,73079210,Spare Parts,HHML Parts,PARTS,PARTS18,20,80,29.25,23.4,56.6,1132,,0,,100,9,5.094,9,5.094,0,0,0,0,0,0,0,0,0,0,0,15165.61963,30410-02-PSAO-0523-4306,,Tax Invoice,GOWTHAMA N,,,,Credit,0,0,0,0,0,0,0,0
30410,45066,30410G01,B,SHREE MOTORS2-32838916782,2-32838916782,AESC,30410BE23P3365,45066,Sale,,Open,Parts Invoice,Parts,44830ABA000S,CABLE COMP SPDMT-44830ABA000S,PC,87141090,Spare Parts,HHML Parts,PARTS,PARTS28,5,110,35.87,39.457,70.543,352.715,,0,,100,14,9.87602,14,9.87602,0,0,0,0,0,0,0,0,0,0,0,15165.61963,30410-02-PSAO-0523-4306,,Tax Invoice,GOWTHAMA N,,,,Credit,0,0,0,0,0,0,0,0
30410,45066,30410G01,B,SHREE MOTORS2-32838916782,2-32838916782,AESC,30410BE23P3365,45066,Sale,,Open,Parts Invoice,Parts,61000AAGA00SS,FR FENDER CBR R 195C-61000AAGA00SS,PC,87141090,Spare Parts,HHML Parts,PARTS,PARTS28,1,1275,35.87,457.3425,817.6575,817.6575,,0,,100,14,114.47205,14,114.47205,0,0,0,0,0,0,0,0,0,0,0,15165.61963,30410-02-PSAO-0523-4306,,Tax Invoice,GOWTHAMA N,,,,Credit,0,0,0,0,0,0,0,0
30410,45066,30410G01,B,SHREE MOTORS2-32838916782,2-32838916782,AESC,30410BE23P3365,45066,Sale,,Open,Parts Invoice,Parts,61103KST940S,COLLAR FR.FENDER R-61103KST940S,PC,73181900,Spare Parts,HHML Parts,PARTS,PARTS18,10,11,29.25,3.2175,7.78249,77.8249,,0,,100,9,0.70043,9,0.70043,0,0,0,0,0,0,0,0,0,0,0,15165.61963,30410-02-PSAO-0523-4306,,Tax Invoice,GOWTHAMA N,,,,Credit,0,0,0,0,0,0,0,0
30410,45066,30410G01,B,SHREE MOTORS2-32838916782,2-32838916782,AESC,30410BE23P3365,45066,Sale,,Open,Parts Invoice,Parts,61104KST940S,COLLAR FR.FENDER L-61104KST940S,PC,73181900,Spare Parts,HHML Parts,PARTS,PARTS18,10,11,29.25,3.2175,7.78249,77.8249,,0,,100,9,0.70043,9,0.70043,0,0,0,0,0,0,0,0,0,0,0,15165.61963,30410-02-PSAO-0523-4306,,Tax Invoice,GOWTHAMA N,,,,Credit,0,0,0,0,0,0,0,0
30410,45066,30410G01,B,SHREE MOTORS2-32838916782,2-32838916782,AESC,30410BE23P3365,45066,Sale,,Open,Parts Invoice,Parts,90102KWP900S,BOLT ADPT-90102KWP900S,PC,73181500,Spare Parts,HHML Parts,PARTS,PARTS18,10,26,29.25,7.605,18.395,183.95,,0,,100,9,1.65555,9,1.65555,0,0,0,0,0,0,0,0,0,0,0,15165.61963,30410-02-PSAO-0523-4306,,Tax Invoice,GOWTHAMA N,,,,Credit,0,0,0,0,0,0,0,0
30410,45066,30410G01,B,SHREE MOTORS2-32838916782,2-32838916782,AESC,30410BE23P3365,45066,Sale,,Open,Parts Invoice,Parts,90307001000S,NUT RR.AXLE SLEEVE-90307001000S,PC,73181600,Spare Parts,HHML Parts,PARTS,PARTS18,20,14,29.25,4.095,9.905,198.1,,0,,100,9,0.89145,9,0.89145,0,0,0,0,0,0,0,0,0,0,0,15165.61963,30410-02-PSAO-0523-4306,,Tax Invoice,GOWTHAMA N,,,,Credit,0,0,0,0,0,0,0,0
30410,45066,30410G01,B,SHREE MOTORS2-32838916782,2-32838916782,AESC,30410BE23P3365,45066,Sale,,Open,Parts Invoice,Parts,91201GBG900S,OIL SEAL30X42X4.5DLX-91201GBG900S,PC,40169330,Spare Parts,HHML Parts,PARTS,PARTS18,5,50,29.25,14.625,35.375,176.875,,0,,100,9,3.18375,9,3.18375,0,0,0,0,0,0,0,0,0,0,0,15165.61963,30410-02-PSAO-0523-4306,,Tax Invoice,GOWTHAMA N,,,,Credit,0,0,0,0,0,0,0,0
30410,45066,30410G01,B,SHREE MOTORS2-32838916782,2-32838916782,AESC,30410BE23P3365,45066,Sale,,Open,Parts Invoice,Parts,91204GBG850S,OIL SEAL18.9X28X5DLX-91204GBG850S,PC,40169330,Spare Parts,HHML Parts,PARTS,PARTS18,5,32,29.25,9.36,22.64,113.2,,0,,100,9,2.0376,9,2.0376,0,0,0,0,0,0,0,0,0,0,0,15165.61963,30410-02-PSAO-0523-4306,,Tax Invoice,GOWTHAMA N,,,,Credit,0,0,0,0,0,0,0,0
